Dấu thời gian	Ông thuộc nhóm mấy	File report	Codeforce 	Tiêu chí 1	Tiêu chí 2 	Tiêu chí 3	Điểm cộng/trừ	Điểm tổng	Nhận xét chi tiết
16/12/2025 22:47:18	1	https://drive.google.com/open?id=1dxg7MB3amKtLSLURWQQUYRTWBISHkOzH	8	0,4	0,4	0,2	-0,1	9,9	Brute Force + Beam Search (Pareto pruning, beam width 15k) mô tả pipeline đầy đủ cho từng subtask và phân tích rõ O(N!·N)/O(N·B log B) cả thời gian lẫn bộ nhớ; đáp ứng trọn vẹn. |
15/12/2025 20:45:41	2	https://drive.google.com/open?id=1hVN9aTfpGVVjWXWGi6h8VcnWnDle6OTm	8	0,4	0,4	0,2		10	DP theo cặp (R,P) kết hợp Pareto pruning mô tả chi tiết, chạy exact cho cả hai subtask và phân tích O(N^2)/O(N^2) bộ nhớ; đáp ứng trọn vẹn.
15/12/2025 17:36:13	3	https://drive.google.com/open?id=1b9d9CmVpnQuLoa1Uva5ol8M5asNXsqxF	8	0,4	0,4	0,2		10	DFS exact + Randomized Greedy Repair mô tả rõ pipeline, liên hệ chặt với yêu cầu từng subtask và phân tích O(2^n)+O(n log n); đạt đủ rubric.
16/12/2025 9:08:25	4	https://drive.google.com/open?id=1P72bfcAm7zMutjyJ8Fp5AzkS_7rjBL-h	8	0,4	0,4	0,2	0,36	10	Báo cáo phân tích tốt, chiến lược lựa chọn thuật toán ALNS cực kỳ thuyết phục và mang tính thực tế cao. Thêm điểm cộng vì chỉ ra được điểm yếu của GA.
15/12/2025 23:56:44	5	https://drive.google.com/open?id=1u6T8DTUfHfNMDy_imu2KHfjnGC9DsLqD	8	0,4	0,4	0,2		10	Backtracking/Branch-and-Bound và Beam Search được mô tả rành mạch, có lý do chọn cho từng subtask và phân tích O(2^n), O(N·W log W).
16/12/2025 11:10:40	7	https://drive.google.com/open?id=1n4tZcD3wgs7YBBNbc3h1el1zgNYBkacP	8	0,4	0,4	0,2		10	Báo cáo trình bày mạch lạc, kiến thức thuật toán vững vàng. Cả hai subtask đều được giải quyết bằng phương pháp chuẩn mực và tối ưu.
16/12/2025 22:45:18	8	https://drive.google.com/open?id=1Q6Ztt4-RYwCyFYMENSTbYZUqQP6OKE8V	8	0,36	0,36	0,2	-0,1	9,74	Subtask 1 chỉ sinh tập con rồi EDD, thiếu chứng minh brute force; Beam Search không nêu beam width/pruning hay gắn scoring nên rubric chưa đủ
15/12/2025 19:53:18	9	https://drive.google.com/open?id=1lCJa7UP3zl6T6mn0A0RXkIKBQ-mir_mR	8	0,36	0,36	0,2		9,84	Có Backtracking và Beam Search + Pareto pruning nhưng thiếu chi tiết lưu trạng thái cho subtask lớn nên chưa trọn vẹn rubric
16/12/2025 22:26:43	10	https://drive.google.com/open?id=1qF-dMW57y0DkhKUk_s9xzenVBOY-GOLZ	8	0,36	0,36	0,2	-0,1	9,74	“Brute force” cố định thứ tự theo deadline, không xét hoán vị/lưu trạng thái; Beam Search thiếu beam width/dominance và chỉ ghi O(N·K) nên chưa đạt rubric.
16/12/2025 0:07:53	11	https://drive.google.com/open?id=1EzaqdvLgraKAB1ptlku_xhz2ssLx2cdA	8	0,3	0,3	0,2		9,6	Chỉ mô tả Beam Search chung chung, thiếu phương pháp exact cho Subtask 1, giải thích tính phù hợp sơ sài và không tách phân tích độ phức tạp
15/12/2025 23:48:37	12	https://drive.google.com/open?id=1PNQfowEb6rwDGn2ZFzk3lxy1C6Wzf4wX	8	0,4	0,4	0,2		10	Phương pháp tiếp cận thông minh, biến bài toán NP-Hard thành bài toán khả thi nhờ kỹ thuật cắt tỉa trạng thái thực dụng.
16/12/2025 15:36:25	13	https://drive.google.com/open?id=1yKGquQj7yCAvCZgPcR78y1mr_opEl9Gr	8	0,4	0,4	0,2	-0,1	9,9	Báo cáo hoàn thiện tốt, phân tích tài nguyên hệ thống chính xác và lựa chọn thuật toán tối ưu
16/12/2025 13:44:20	14	https://drive.google.com/open?id=1b2F87a8ISYLHIbQNdI1SQdN5sQCvBfsO	8	0,4	0,4	0,2	-0,1	9,9	Kỹ thuật Linear Merge và Dominance Pruning ở Subtask 2 chứng tỏ tư duy thuật toán già dặn, xử lý tốt bài toán quy mô lớn. 
16/12/2025 16:06:43	15	https://drive.google.com/open?id=1XiBZFFuKm7KtTTrWgxaENKDsti6inyxa	8	0,4	0,4	0,2	-0,1	9,9	Báo cáo hoàn hảo về mặt kỹ thuật, lập luận chặt chẽ và tính toán tài nguyên chính xác đến từng byte.
15/12/2025 17:05:11	16	https://drive.google.com/open?id=1G7sXCp9nJuskWnQV-6EcFKoAXakXqp47	8	0,4	0,4	0,2		10	Bitmask brute force cho subtask nhỏ và IG+SA cho subtask lớn trình bày rõ chu trình, thông số và độ phức tạp O(2^n·n log n) / O(K·N); đáp ứng đầy đủ
15/12/2025 19:35:03	17	https://drive.google.com/open?id=1dZUo8iOxsXKi7JWTNy4ERN5eLvzBU5CG	8	0,4	0,36	0,2		9,92	Chiến lược tiếp cận bài toán rất thực tế, tận dụng tối đa tài nguyên hệ thống để tìm nghiệm tốt nhất.
